{'loss': 0.2339, 'grad_norm': 1.4847997426986694, 'learning_rate': 1.7044831106128866e-05, 'epoch': 1.49}              
{'loss': 0.3167, 'grad_norm': 1.760961651802063, 'learning_rate': 1.5896938149983908e-05, 'epoch': 1.51}               
{'loss': 0.1712, 'grad_norm': 0.9043257236480713, 'learning_rate': 1.4781713480810184e-05, 'epoch': 1.52}              
{'loss': 0.2359, 'grad_norm': 2.3428306579589844, 'learning_rate': 1.3700225403843469e-05, 'epoch': 1.54}              
{'loss': 0.1994, 'grad_norm': 1.6164075136184692, 'learning_rate': 1.2653509907084171e-05, 'epoch': 1.56}              
{'loss': 0.1366, 'grad_norm': 0.7909385561943054, 'learning_rate': 1.164256966889517e-05, 'epoch': 1.58}               
{'loss': 0.1623, 'grad_norm': 0.9997111558914185, 'learning_rate': 1.0668373097507923e-05, 'epoch': 1.6}               
{'loss': 0.2249, 'grad_norm': 1.4939842224121094, 'learning_rate': 9.731853403356705e-06, 'epoch': 1.62}               
{'loss': 0.2123, 'grad_norm': 1.1561192274093628, 'learning_rate': 8.83390770513009e-06, 'epoch': 1.64}                
{'loss': 0.221, 'grad_norm': 1.7941861152648926, 'learning_rate': 7.975396170395521e-06, 'epoch': 1.66}                
{'loss': 0.2086, 'grad_norm': 0.9723554849624634, 'learning_rate': 7.157141191620548e-06, 'epoch': 1.67}               
{'eval_loss': 0.28760749101638794, 'eval_runtime': 75.1911, 'eval_samples_per_second': 7.142, 'eval_steps_per_second': 3.578, 'epoch': 1.67}  





{'loss': 0.2617, 'grad_norm': 1.6357184648513794, 'learning_rate': 6.379926598379726e-06, 'epoch': 1.69}               
{'loss': 0.2309, 'grad_norm': 0.14901582896709442, 'learning_rate': 5.644496906502233e-06, 'epoch': 1.71}              
{'loss': 0.1668, 'grad_norm': 0.7108502388000488, 'learning_rate': 4.951556604879048e-06, 'epoch': 1.73}               
{'loss': 0.1588, 'grad_norm': 0.7642372846603394, 'learning_rate': 4.301769480613116e-06, 'epoch': 1.75}               
{'loss': 0.1833, 'grad_norm': 2.3489835262298584, 'learning_rate': 3.6957579831589538e-06, 'epoch': 1.77}              
{'loss': 0.165, 'grad_norm': 0.10442245751619339, 'learning_rate': 3.134102628060698e-06, 'epoch': 1.79}               
{'loss': 0.2358, 'grad_norm': 1.8344188928604126, 'learning_rate': 2.6173414408598827e-06, 'epoch': 1.8}               
{'loss': 0.2318, 'grad_norm': 1.6251072883605957, 'learning_rate': 2.1459694417055034e-06, 'epoch': 1.82}              
{'loss': 0.1883, 'grad_norm': 0.005846707616001368, 'learning_rate': 1.7204381711603045e-06, 'epoch': 1.84}            
{'loss': 0.1836, 'grad_norm': 0.26230520009994507, 'learning_rate': 1.341155257657256e-06, 'epoch': 1.86}              
{'loss': 0.1823, 'grad_norm': 0.9530066847801208, 'learning_rate': 1.008484027020773e-06, 'epoch': 1.88}               
{'loss': 0.2914, 'grad_norm': 1.11704683303833, 'learning_rate': 7.227431544266194e-07, 'epoch': 1.9}                  
{'loss': 0.2442, 'grad_norm': 1.4920613765716553, 'learning_rate': 4.842063591339763e-07, 'epoch': 1.92}               
{'loss': 0.2258, 'grad_norm': 0.39198946952819824, 'learning_rate': 2.9310214228202013e-07, 'epoch': 1.93}             
{'loss': 0.2307, 'grad_norm': 0.3912290930747986, 'learning_rate': 1.4961356800219927e-07, 'epoch': 1.95}              
{'eval_loss': 0.2868923544883728, 'eval_runtime': 75.667, 'eval_samples_per_second': 7.097, 'eval_steps_per_second': 3.555, 'epoch': 1.95}  




{'loss': 0.1974, 'grad_norm': 1.4847077131271362, 'learning_rate': 5.3878088055947515e-08, 'epoch': 1.97}              
{'loss': 0.1695, 'grad_norm': 0.7753620147705078, 'learning_rate': 5.987410165758656e-09, 'epoch': 1.99}               
{'train_runtime': 3673.2384, 'train_samples_per_second': 2.342, 'train_steps_per_second': 0.585, 'train_loss': 0.3061400928053745, 'epoch': 2.0}
